date_local,CO,CO_percent,NO2,NO2_percent,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,OZONE,PM2.5,Number,Category_Name,Ozone,AQI_Category
2015-03-18,24.0,100.0,23.0,96.0,287.7866666666667,283.93958333333336,287.2933333333333,287.00333333333333,288.6983333333333,1017.7083333333334,78.45833333333333,3.525833333333334,294.125,,,,,,25.95833333333333,30.0,39.0,1.0,Good,,
2015-03-19,24.0,100.0,23.0,96.0,288.15125,285.00708333333336,287.94166666666666,287.2445833333333,289.1204166666667,1017.2916666666666,83.0,2.304583333333333,250.54166666666663,,,,,,46.41666666666666,34.0,57.0,1.5,Good,,
2015-03-20,24.0,100.0,23.0,96.0,288.10875,284.6958333333333,287.77125,287.31916666666666,288.9895833333333,1018.1666666666666,81.04166666666667,2.5904166666666666,263.0833333333333,,,,,,95.66666666666669,33.0,40.0,1.0,Good,,
2015-03-21,23.0,96.0,23.0,96.0,288.505,285.97083333333336,288.32875,287.78291666666667,289.41333333333336,1020.7916666666666,85.54166666666667,2.532083333333333,253.5,,,,,,83.70833333333333,31.0,26.0,1.0,Good,,
2015-03-22,24.0,100.0,23.0,96.0,289.30083333333334,287.34166666666664,289.28291666666667,288.68583333333333,289.9604166666667,1020.5416666666666,88.54166666666667,3.4966666666666666,230.91666666666663,,0.12,,,,88.875,34.0,31.0,1.0,Good,,
2015-03-23,24.0,100.0,23.0,96.0,288.07958333333335,284.55375,287.71708333333333,287.5420833333333,288.6304166666667,1023.25,80.04166666666667,3.2879166666666664,255.08333333333337,,0.206,,,,74.79166666666667,39.0,38.0,1.0,Good,,
2015-03-24,24.0,100.0,23.0,96.0,287.9225,284.48833333333334,287.5516666666667,287.28791666666666,288.7058333333334,1025.4166666666667,80.29166666666667,3.5416666666666665,276.2083333333333,,,,,,80.75,33.0,36.0,1.0,Good,,
2015-03-25,24.0,100.0,23.0,96.0,288.85083333333336,285.76708333333335,288.6383333333333,288.17,289.6091666666667,1023.5,82.79166666666667,3.5187500000000003,302.9583333333333,,,,,,12.791666666666666,24.0,39.0,1.0,Good,,
2015-03-26,23.0,96.0,23.0,96.0,290.19166666666666,286.98375,290.115,289.3308333333334,290.99125,1020.6666666666666,83.29166666666667,2.058333333333333,215.875,,,,,,21.416666666666668,28.0,51.0,1.5,Good,,
2015-03-27,24.0,100.0,23.0,96.0,289.51666666666665,287.73291666666665,289.55875,288.8491666666667,290.18125000000003,1019.625,90.0,2.8679166666666664,276.125,,,,,,43.0,24.0,18.0,1.0,Good,,
2015-03-28,24.0,100.0,23.0,96.0,289.21083333333337,285.0704166666667,288.90500000000003,288.4725,290.0045833333333,1020.75,77.83333333333333,4.105,303.5,,,,,,19.08333333333333,31.0,43.0,1.0,Good,,
2015-03-29,23.0,96.0,23.0,96.0,289.43125000000003,285.15000000000003,289.17375,288.6395833333333,290.2416666666667,1019.0416666666666,77.08333333333333,3.0866666666666664,286.2083333333333,,,,,,12.541666666666666,28.0,54.0,1.5,Good,,
2015-03-30,23.0,96.0,23.0,96.0,288.96583333333336,285.86,288.77000000000004,288.2704166666667,289.63416666666666,1017.0,83.0,2.8266666666666667,273.9166666666667,,,,,,58.16666666666666,31.0,55.0,1.5,Moderate,,
2015-03-31,23.0,96.0,23.0,96.0,288.6425,284.52916666666664,288.27208333333334,287.9920833333333,289.3929166666667,1019.375,77.54166666666667,6.458749999999999,292.0416666666667,,,,,,36.333333333333336,38.0,37.0,1.0,Good,,
2015-04-01,24.0,100.0,23.0,96.0,287.17333333333335,281.04375,286.0683333333333,286.4533333333333,288.00208333333336,1021.4583333333334,67.16666666666667,6.8475,309.75,,,,,,24.625,37.0,43.0,1.0,Good,,
2015-04-02,23.0,96.0,23.0,96.0,287.33250000000004,280.6033333333333,286.2004166666666,286.4241666666667,288.38625,1020.5416666666666,65.375,5.085,316.1666666666667,,,,,,0.0,35.0,47.0,1.0,Good,,
2015-04-03,24.0,100.0,23.0,96.0,287.00375,281.8929166666667,286.47583333333336,286.22625,287.8283333333333,1021.75,72.95833333333333,3.500833333333333,291.5416666666667,,,,,,4.208333333333333,38.0,57.0,1.5,Good,,
2015-04-04,23.0,96.0,23.0,96.0,286.745,281.0758333333333,285.8333333333333,286.065,287.47666666666663,1018.875,69.625,5.160833333333334,290.75,,,,,,23.291666666666668,42.0,37.0,1.0,Good,,
2015-04-05,24.0,100.0,23.0,96.0,284.98291666666665,280.8491666666667,284.19458333333336,284.39833333333337,285.5708333333333,1013.875,76.08333333333333,4.620416666666666,260.0416666666667,,0.52,,,,58.833333333333336,43.0,33.0,1.0,Good,,
2015-04-06,24.0,100.0,22.0,92.0,284.48125,279.2295833333333,283.27958333333333,283.565,285.31083333333333,1013.7916666666666,71.08333333333333,3.830833333333333,211.25,,,,,,56.958333333333336,42.0,19.0,1.0,Good,,
2015-04-07,24.0,100.0,23.0,96.0,285.7920833333333,281.88,285.1325,285.15458333333333,286.2716666666667,1010.8333333333334,77.375,5.990833333333334,209.95833333333337,,1.4954545454545454,,,,80.83333333333333,43.0,14.0,1.0,Good,,
2015-04-08,23.0,96.0,23.0,96.0,285.16041666666666,281.1304166666667,284.51875,284.43833333333333,285.7775,1018.7916666666666,76.625,2.6075,247.0,,,,,,28.791666666666668,38.0,23.0,1.0,Good,,
2015-04-09,24.0,100.0,23.0,96.0,285.8795833333333,282.7754166666667,285.4633333333333,285.19541666666663,286.62916666666666,1017.9583333333334,82.29166666666667,2.12375,224.08333333333337,,,,,,58.41666666666666,35.0,28.0,1.0,Good,,
2015-04-10,23.0,96.0,23.0,96.0,286.9245833333334,283.57916666666665,286.5441666666667,286.03416666666664,287.89208333333335,1015.8333333333334,81.0,2.3275,255.95833333333337,,,,,,23.5,34.0,26.0,1.0,Good,,
2015-04-11,23.0,96.0,23.0,96.0,287.65416666666664,283.46083333333337,287.21583333333336,286.93041666666664,288.5158333333333,1017.4166666666666,77.08333333333333,3.177083333333333,267.2083333333333,,,,,,59.583333333333336,33.0,28.0,1.0,Good,,
2015-04-12,24.0,100.0,22.0,92.0,288.7758333333333,285.21750000000003,288.55958333333336,287.99583333333334,289.65333333333336,1016.75,80.45833333333333,3.16625,267.875,,,,,,13.041666666666666,33.0,29.0,1.0,Good,,
2015-04-13,24.0,100.0,23.0,96.0,287.6691666666667,284.49291666666664,287.3258333333333,287.04125,288.3325,1016.9166666666666,82.33333333333333,3.907083333333333,280.8333333333333,,,,,,30.416666666666668,44.0,22.0,1.0,Good,,
2015-04-14,23.0,96.0,23.0,96.0,286.6720833333333,279.46791666666667,285.365,286.1479166666667,287.26166666666666,1023.5833333333334,63.583333333333336,6.155833333333334,310.0833333333333,,,,,,6.833333333333333,40.0,29.0,1.0,Good,,
2015-04-15,23.0,96.0,23.0,96.0,287.825,280.0095833333333,286.76416666666665,287.1195833333333,288.65208333333334,1022.3333333333334,61.333333333333336,5.0125,323.0,,,,,,30.58333333333333,35.0,28.0,1.0,Good,,
2015-04-16,24.0,100.0,22.0,92.0,291.7633333333333,279.9158333333333,290.9691666666667,290.71583333333336,292.77375,1016.5,47.79166666666666,3.5224999999999995,180.70833333333337,,,,,,1.5,43.0,21.0,1.0,Good,,
2015-04-17,23.0,96.0,23.0,96.0,289.875,283.51875,289.3854166666667,289.0054166666667,290.7320833333333,1017.375,68.58333333333333,2.686666666666667,260.25,,,,,,4.625,36.0,52.0,1.5,Good,,
2015-04-18,24.0,100.0,23.0,96.0,287.31666666666666,284.59625,287.00291666666664,286.7716666666667,287.86708333333337,1017.1666666666666,84.79166666666667,2.755416666666666,242.41666666666663,,,,,,47.5,34.0,52.0,1.5,Good,,
2015-04-19,23.0,96.0,23.0,96.0,286.8558333333333,284.32875,286.50916666666666,286.3020833333333,287.4120833333333,1014.2083333333334,85.33333333333333,3.084583333333333,240.08333333333337,,,,,,44.54166666666666,37.0,37.0,1.0,Good,,
2015-04-20,23.0,96.0,23.0,96.0,286.7295833333333,284.5879166666667,286.4220833333333,286.1566666666667,287.2920833333333,1012.3333333333334,87.29166666666667,3.6358333333333337,251.58333333333337,,,,,,78.79166666666667,36.0,44.0,1.0,Good,,
2015-04-21,24.0,100.0,23.0,96.0,286.3808333333333,284.1929166666667,286.02416666666664,285.78125,287.00125,1011.375,86.75,4.513333333333333,251.45833333333337,,,,,,93.25,32.0,28.0,1.0,Good,,
2015-04-22,23.0,96.0,23.0,96.0,286.8879166666667,284.36875000000003,286.54,286.36291666666665,287.445,1011.1666666666666,85.125,3.22125,233.70833333333337,,,,,,70.29166666666667,35.0,46.0,1.0,Good,,
2015-04-23,24.0,100.0,23.0,96.0,287.3183333333333,284.2629166666667,286.9379166666667,286.6408333333333,287.9325,1011.5,82.25,3.215,253.54166666666663,,,,,,34.208333333333336,34.0,60.0,1.5,Good,,
2015-04-24,24.0,100.0,23.0,96.0,287.87,283.2995833333334,287.3570833333333,287.165,288.6425,1013.4583333333334,75.04166666666667,6.7179166666666665,285.9166666666667,,,,,,62.708333333333336,41.0,29.0,1.0,Good,,
