date_local,CO,CO_percent,NO2,NO2_percent
2016-07-15,24.0,100.0,23.0,96.0
2016-07-16,23.0,96.0,23.0,96.0
2016-07-17,23.0,96.0,23.0,96.0
2016-07-18,24.0,100.0,23.0,96.0
2016-07-19,24.0,100.0,22.0,92.0
2016-07-20,23.0,96.0,23.0,96.0
2016-07-21,23.0,96.0,23.0,96.0
2016-07-22,23.0,96.0,23.0,96.0
2016-07-23,23.0,96.0,23.0,96.0
2016-07-24,23.0,96.0,22.0,92.0
2016-07-25,24.0,100.0,23.0,96.0
2016-07-26,24.0,100.0,23.0,96.0
2016-07-27,24.0,100.0,3.0,13.0
2016-07-28,20.0,83.0,16.0,67.0
2016-07-29,23.0,96.0,23.0,96.0
2016-07-30,23.0,96.0,23.0,96.0
2016-07-31,23.0,96.0,23.0,96.0
2016-08-01,23.0,96.0,23.0,96.0
2016-08-02,23.0,96.0,23.0,96.0
2016-08-03,22.0,92.0,22.0,92.0
2016-08-04,23.0,96.0,23.0,96.0
2016-08-05,23.0,96.0,23.0,96.0
2016-08-06,24.0,100.0,23.0,96.0
2016-08-07,23.0,96.0,23.0,96.0
2016-08-08,23.0,96.0,21.0,88.0
2016-08-09,24.0,100.0,23.0,96.0
2016-08-10,23.0,96.0,23.0,96.0
2016-08-11,24.0,100.0,23.0,96.0
2016-08-12,23.0,96.0,23.0,96.0
2016-08-13,23.0,96.0,23.0,96.0
2016-08-14,23.0,96.0,23.0,96.0
2016-08-15,24.0,100.0,23.0,96.0
2016-08-16,24.0,100.0,22.0,92.0
2016-08-17,23.0,96.0,23.0,96.0
2016-08-18,23.0,96.0,23.0,96.0
2016-08-19,23.0,96.0,23.0,96.0
2016-08-20,23.0,96.0,23.0,96.0
2016-08-21,23.0,96.0,23.0,96.0
2016-08-22,24.0,100.0,23.0,96.0
2016-08-23,23.0,96.0,23.0,96.0
2016-08-24,24.0,100.0,23.0,96.0
2016-08-25,23.0,96.0,23.0,96.0
